topicid,title,year,weight
58,Communications of the ACM,1982,0.6594
58,Communications of the ACM,1983,0.6846
58,Communications of the ACM,1984,0.29635
58,Communications of the ACM,1985,0.3606
58,Communications of the ACM,1986,0.4273
58,Communications of the ACM,1987,0.4617
58,Communications of the ACM,1988,0.5261
58,Communications of the ACM,1990,0.7995
58,Communications of the ACM,1991,0.339175
58,Communications of the ACM,1992,0.426066667
58,Communications of the ACM,1993,0.477246154
58,Communications of the ACM,1994,0.29395
58,Communications of the ACM,1995,0.50425
58,Communications of the ACM,1996,0.437775
58,Communications of the ACM,1997,0.496630769
58,Communications of the ACM,1998,0.528790909
58,Communications of the ACM,1999,0.474272727
58,Communications of the ACM,2000,0.546333333
58,Communications of the ACM,2001,0.542846154
58,Communications of the ACM,2002,0.443213333
58,Communications of the ACM,2003,0.412635714
58,Communications of the ACM,2004,0.488854545
58,Communications of the ACM,2005,0.535494444
58,Communications of the ACM,2006,0.524461538
58,Communications of the ACM,2007,0.508047826
58,Communications of the ACM,2008,0.452273333
58,Communications of the ACM,2009,0.498931818
58,Communications of the ACM,2010,0.398417647
58,Communications of the ACM,2011,0.423158333
61,Communications of the ACM,1961,0.4047
61,Communications of the ACM,1964,0.297
61,Communications of the ACM,1965,0.40335
61,Communications of the ACM,1969,0.2247
61,Communications of the ACM,1974,0.54775
61,Communications of the ACM,1975,0.7825
61,Communications of the ACM,1983,0.7675
61,Communications of the ACM,1984,0.625
61,Communications of the ACM,1985,0.5891
61,Communications of the ACM,1986,0.4984
61,Communications of the ACM,1987,0.2013
61,Communications of the ACM,1988,0.4841
61,Communications of the ACM,1990,0.5985
61,Communications of the ACM,1992,0.563375
61,Communications of the ACM,1994,0.37425
61,Communications of the ACM,1995,0.375566667
61,Communications of the ACM,1996,0.5087
61,Communications of the ACM,2001,0.649
61,Communications of the ACM,2002,0.5449
61,Communications of the ACM,2006,0.362866667
61,Communications of the ACM,2007,0.2221
61,Communications of the ACM,2009,0.2716
61,Communications of the ACM,2010,0.2081
61,Communications of the ACM,2011,0.2965
67,Communications of the ACM,1961,0.287566667
67,Communications of the ACM,1963,0.2126
67,Communications of the ACM,1964,0.3586
67,Communications of the ACM,1965,0.420022222
67,Communications of the ACM,1967,0.425383333
67,Communications of the ACM,1969,0.44015
67,Communications of the ACM,1974,0.43044
67,Communications of the ACM,1975,0.4961
67,Communications of the ACM,1978,0.491263636
67,Communications of the ACM,1981,0.34885
67,Communications of the ACM,1982,0.4163
67,Communications of the ACM,1983,0.36064
67,Communications of the ACM,1984,0.532123077
67,Communications of the ACM,1985,0.33545
67,Communications of the ACM,1986,0.316516667
67,Communications of the ACM,1987,0.36695
67,Communications of the ACM,1988,0.504966667
67,Communications of the ACM,1990,0.6563
67,Communications of the ACM,1992,0.4853
67,Communications of the ACM,1993,0.6733
67,Communications of the ACM,1995,0.28445
67,Communications of the ACM,1997,0.309
