name,color,projects,relations
Computing-Methodologies,#aec7e8,59,184
Theory-of-Computation,#1f77b4,17,71
Information-Systems,#ffbb78,35,84
Computer-Applications,#ff7f0e,5,6
Hardware,#98df8a,13,31
Software,#2ca02c,28,45
Computer-Systems-Organization,#ff9896,17,31
Data,#d62728,3,16
Mathematics-of-Computing,#c5b0d5,8,29
Computing-Milieux,#9467bd,10,15
