name,color,projects,relations
Computing-Methodologies,#aec7e8,175,8614
Computer-Applications,#1f77b4,36,1719
Software,#ffbb78,137,9950
Computing-Milieux,#ff7f0e,63,2501
Mathematics-of-Computing,#98df8a,66,3173
Information-Systems,#2ca02c,100,7562
Computer-Systems-Organization,#ff9896,67,4660
Theory-of-Computation,#d62728,56,5196
Data,#c5b0d5,19,1325
Hardware,#9467bd,49,2736
General-Literature,#c49c94,1,14
