quarter,0,16,17,18,31,37,39,40,45,58,61,67,70,74,97,106,118,121,124,131,137,139,144,150,168,170,171,177,180,191,194,197,206,208,214,220,221,229,230,233,244,248
0,,1.608,,,,0.6508,,0.48125,0.4928,0.7469,,0.2258,0.2257,,0.2993,0.2288,,,,0.348365333,0.226666667,,0.292,,,,,0.4463,,0.7862,,0.50715,,,0.405866667,2.1754625,0.3499,,0.2134,,,
1954,,,,,,,0.207,,,,,0.316,,,,,,,,,,0.3761,,,,,,,,,,,,,,0.418,0.5203,,,,,
1955,0.38045,,,,,,,,,0.4027,,,,0.59765,,,,,,,,,,,,,0.5349,,,,,,,,,,,,,,0.4905,
1956,,,0.3228,,,,,,,,,0.4434,,0.53375,,,,,,,,,,,,,,,,,,,,,,0.3799,0.3144,,,,,0.5592
1957,,,,,,,0.2534,0.4946,,,,0.6431,,0.45125,,,,,,,,,,,,,0.51245,,,,,,,,,0.417566667,,,,0.3426,0.5055,0.2093
1958,,,,,,,,,,,,0.2636,,0.503233333,,,,,,,,,,,,,,,,,,,,,,0.211,,,,,,
1959,,,0.44845,0.638,,,0.211,0.4908,,,,,,0.49976,,,,,,,,,,,,,,,0.34125,,,,0.3871,,,0.9537,,,,,,
1960,,,,,,,0.3467,,,,0.293,,,0.46794,,,,,,0.2185,,,,,,,,,0.40315,,,,,,,0.7496,,,,,,
1961,,,,,,,1.002808333,,,,1.09735,0.557166667,,1.127209524,,,,,0.4618,,,,,0.4276,,0.5602,,,0.416233333,0.2577,,0.7191,,0.37825,,0.2648,0.2123,,,,,0.60135
1962,,,,,,,0.443114286,,,0.2356,0.7763,,,0.97036,,,,,,,,,,,,,0.2088,,0.4774,,,,,,,,,,,,,
1963,,,,,,,0.38105,,,,0.5384,0.2126,,1.190616667,,,,0.268,,,,,,,,,,,,,,,,,,0.464766667,,,,0.3578,,
1964,0.5706,,0.343825,0.2677,,,1.1566,0.4473,,,0.297,0.62975,,1.002027778,,,,0.4075,,,,0.3499,,,,,,,0.5759,0.4632,,,,,,0.463842857,0.359633333,,0.3737,0.328833333,0.6023,0.3309
1965,0.2439,,0.7741,,,,0.494420588,,0.3566,,0.40335,1.024922222,,1.130864286,,,,,,,,0.47665,,,,0.3969,,,0.325533333,,,,,,,0.494390909,0.3302,0.3084,,0.5514,0.7463,0.43392
1966,,,,,,,0.321433333,,,,,,,0.5769,,,,,,,,,,0.2196,,,,,0.7602,,,,,0.6409,,,,,,,,
1967,,,,,,0.2252,0.6288,0.3671,,0.4354,,0.949883333,,1.051435714,0.4233,,,0.3249,,,0.3194,,,0.2596,,0.513766667,,,0.797308333,0.54225,,0.363066667,0.45215,0.2678,,0.354833333,,0.2299,,,0.39095,0.5755
1968,,,,,,,0.385,,,,0.5745,0.71675,,0.643866667,,,,0.2419,,,,,,,,,,,0.39325,,,,,,,,,,,0.21105,,0.313
1969,0.35215,0.5093,0.8892,,,,1.178309091,,,,0.2247,0.91775,,1.127866667,,,,,,0.34115,,0.2919,,0.2575,,0.46,,,1.1603,0.4457,0.2198,,,0.2165,0.25,0.991,0.3208,,,0.4246,0.2136,0.377066667
1970,,,,,,,0.35955,,,,,1.23075,,0.57145,,,,,,,,,,,,0.5192,,,0.559233333,,,,,,,1.1568,,,,,,
1971,,,0.561884615,,,0.2125,0.497482353,,,0.2691,,1.164177778,,0.551733333,,,,,,,0.3558,,,,,0.4391,,,0.73595,,,,,0.2157,,,0.2837,,,,0.3073,0.2239
1972,,,0.5625,,,,0.6121,,0.3472,,,1.803366667,,1.1721,,,,0.2538,,0.6926,,0.4808,,,,,,,0.535090909,,,,,,,0.4899,0.7007,,,0.2589,,0.6027
1973,0.415975,0.2707,1.023850833,,,0.3184,1.6766,,0.59475,,0.3979,2.385031622,,0.821266667,,,,,,0.33085,,,,,,0.2837,,,0.7866,,,,0.2802,0.491116667,,0.28,1.215,,,,,
1974,,,1.337666667,,,0.2191,0.997575,,0.33434,0.343,1.09965,2.34239,,1.6328625,,0.3134,,,0.2813,0.76564,,,,0.3415,,0.269266667,,,1.25898,0.4772,,,,0.2898,,1.500413095,1.05,,,0.6658,0.5781,0.4858
1975,0.7015,0.3602,0.543546667,1.027866667,,0.2661,0.962792857,,0.41858,0.2469,1.1857,2.052404762,0.4039,0.792866667,,,,0.3452,0.4012,0.586525,,,0.3685,0.7431,,0.4789,,,0.851126667,1.0547,,,,1.804375,0.2658,1.682479167,1.14024,,,0.5427,1.01245,0.388633333
1976,0.30705,0.2568,1.481706167,0.6115,,0.2094,1.900633333,0.503,0.72685,0.8778,0.64055,3.954182063,,0.441,0.4898,,,,0.4641,0.697664833,0.2338,0.4372,,0.938016667,,2.07255,,,0.968954545,,,,0.876333333,0.857155556,0.3429,0.3632,1.950124176,,,0.4316,0.8252,0.4073
1977,,,0.750923256,0.3358,,0.4453,2.067554167,0.3705,0.2868,0.2163,1.468933333,4.477214167,0.3464,0.92405,,,,,,0.33115,,0.2152,,0.871733333,,,,0.2385,1.04275,,,1.0418,0.2145,2.2539,,0.4448,1.9044,,,0.334,0.92016,
1978,0.7925,0.55384,1.061366667,1.46992,,0.7678,2.432222222,,0.6213,2.35425,1.0445,3.691635303,0.4181,1.46512,,,,,1.231,0.4465,0.243875,0.4404,,1.1984,,1.88075,,,1.336225,,,0.9718,0.2494,1.31025,,1.011067857,2.351916667,0.2624,,0.501733333,0.897166667,0.633
1979,,0.2416,0.579383333,0.2291,0.3281,0.7015,2.999220909,0.2849,0.2432,0.3187,0.2371,3.8423925,,1.445984286,,,,,1.1174,0.43982,,,,0.4265,0.2279,0.6293,,0.4821,2.630375,,0.2674,0.4459,0.7006,1.7716,,1.33672,1.6625,0.3601,,0.7562,0.2584,
1980,1.1248,0.2369,0.50222069,0.3733,,0.72105,2.092,0.9261,0.605,,0.2371,3.906341071,0.5346,1.226457143,0.2785,,0.3041,,0.9903,0.6205,0.2175,0.3729,,1.374,,0.2059,,2.0721,1.9661,,0.7542,0.47335,1.342775,2.924666667,,0.52196,1.989325,,,1.8783,2.48715,0.2089
1981,0.8758,2.730833333,2.134916216,1.46005,0.4731,0.5142,2.251904082,,0.8775,1.306391667,0.74375,4.919204167,1.240425,2.252563636,,0.2941,0.2139,0.2629,2.082533333,1.009033333,0.35405,1.61625,0.2325,1.05235,0.3425,1.34185,,1.0317,1.802116667,0.2449,0.2107,1.610671429,0.252,0.9966,,2.693728571,2.034429167,,,,2.5953,0.9351
1982,0.5621,0.6181,1.39217561,1.7165,,0.5453,2.698032333,0.582,0.533333333,0.6594,0.74265,5.309344444,1.61345,1.2105,,,0.2481,,1.452175,0.676092857,0.5009,0.7156,0.4126,0.6396,,0.3973,0.5038,1.1441,2.7606,0.9231,,0.7075,0.2938,2.264933333,,2.0300825,1.706191667,,,0.4617,0.4837,0.2572
1983,0.33,0.4849,1.780506,1.4301,0.2449,1.07405,2.524628947,,0.823766667,2.0575,0.7675,3.63254,1.44135,1.43875,,,0.4271,0.2339,1.204916667,0.551,,0.3029,0.433,0.8553,,0.8344,,,1.362607143,1.0125,,0.8361,0.2718,1.75055,0.9364,2.8146,1.920842857,0.57455,,0.605,1.4841,0.2038
1984,0.901966667,0.952,1.388593985,0.72185,,1.8827,3.432794545,0.2153,0.37325,1.1087,1.124,4.710764744,1.90294,1.39205,,,0.8449,,2.585696667,0.679,0.5393,2.1167,,1.42738,0.3569,,0.28,1.52895,1.593225,0.487744444,,0.435808333,0.6332,2.925545098,0.8386,1.427777273,2.666845,,,0.4242,1.869883333,0.6189
1985,0.669533333,,2.709568889,0.4572,0.84125,1.2917,3.086155706,0.8121,1.509683333,2.13165,1.2277,3.654652982,2.36805,1.40255,0.2425,0.6493,0.795257143,0.2438,2.826638333,0.8345,0.3234,1.34707,0.7206,2.536761111,0.352757143,0.8516,,1.3269,1.07094,1.46915,0.5293,1.648925,,2.606738235,0.3128,2.81615,1.4793,0.6063,0.2697,0.5868,2.304530952,1.492916667
