name,color,projects,relations
ERC,#aec7e8,400,3413
ICT,#1f77b4,325,3591
PEOPLE,#ffbb78,264,2149
NMP,#ff7f0e,46,380
INFRA,#98df8a,70,429
KBBE,#2ca02c,51,276
ENV,#ff9896,33,187
SEC,#d62728,6,15
HEALTH,#c5b0d5,127,295
SPA,#9467bd,16,231
REGPOT,#c49c94,17,71
ENERGY,#8c564b,6,24
INCO,#f7b6d2,1,9
SME,#e377c2,2,20
GA,#c7c7c7,2,4
SSH,#7f7f7f,2,5
SiS,#dbdb8d,2,2
TPT,#bcbd22,4,12
Fission,#9edae5,1,1
